clock, output
1301192,0
1301200,0
1301208,0
1301216,0
1301224,0
1301232,0
1301240,0
1301248,0
1301256,0
1301264,0
1301272,0
1301280,36
1301288,43
1301296,57
1301304,68
1301312,82
1301320,73
1301328,83
1301336,102
1301344,104
1301352,109
1301360,118
1301368,121
1301376,138
1301384,139
1301392,138
1301400,124
1301408,125
1301416,142
1301424,141
1301432,144
1301440,164
1301448,163
1301456,168
1301464,171
1301472,172
1301480,160
1301488,158
1301496,131
1301504,131
1301512,132
1301520,109
1301528,110
1301536,110
1301544,111
1301552,110
1301560,111
1301568,111
1301576,83
1301584,84
1301592,89
1301600,106
1301608,91
1301616,120
1301624,96
1301632,79
1301640,108
1301648,99
1301656,86
1301664,81
1301672,88
1301680,93
1301688,94
1301696,87
1301704,84
1301712,87
1301720,102
1301728,104
1301736,69
1301744,73
1301752,72
1301760,87
1301768,94
1301776,91
1301784,91
1301792,94
1301800,72
1301808,72
1301816,73
1301824,71
1301832,72
1301840,78
1301848,78
1301856,75
1301864,74
1301872,76
1301880,78
1301888,80
1301896,81
1301904,82
1301912,82
1301920,99
1301928,88
1301936,91
1301944,80
1301952,76
1301960,95
1301968,83
1301976,81
1301984,78
1301992,89
1302000,69
1302008,64
1302016,88
1302024,98
1302032,96
1302040,73
1302048,76
1302056,94
1302064,95
1302072,94
1302080,81
1302088,81
1302096,88
1302104,85
1302112,86
1302120,84
1302128,83
1302136,103
1302144,100
1302152,96
1302160,83
1302168,97
1302176,84
1302184,84
1302192,86
1302200,113
1302208,116
1302216,121
1302224,112
1302232,122
1302240,134
1302248,138
1302256,198
1302264,199
1302272,200
1302280,157
1302288,175
1302296,170
1302304,184
1302312,167
1302320,141
1302328,140
1302336,125
1302344,132
1302352,124
1302360,118
1302368,121
1302376,93
1302384,92
1302392,93
1302400,97
1302408,101
1302416,80
1302424,82
1302432,80
1302440,79
1302448,79
1302456,36
1302464,36
1302472,0
1302480,0
1302488,0
1302496,0
1302504,0
1302512,0
1302520,0
1302528,0
1302536,0
1302544,0
1302552,0
1302560,0
