clock, output
1300008,0
1300016,0
1300024,0
1300032,100
1300040,199
1300048,199
1300056,0
1300064,199
1300072,199
1300080,199
1300088,199
1300096,199
1300104,199
1300112,4
1300120,4
1300128,192
1300136,192
1300144,192
1300152,15
1300160,0
1300168,199
1300176,199
1300184,199
1300192,0
1300200,199
1300208,2
1300216,2
1300224,0
1300232,199
1300240,199
1300248,5
1300256,0
1300264,5
1300272,199
1300280,199
1300288,0
1300296,199
1300304,4
1300312,56
1300320,56
1300328,199
1300336,199
1300344,199
1300352,199
1300360,0
1300368,199
1300376,199
1300384,199
1300392,199
1300400,199
1300408,199
1300416,199
1300424,0
1300432,199
1300440,199
1300448,199
1300456,199
1300464,199
1300472,199
1300480,199
1300488,0
1300496,1
1300504,1
1300512,2
1300520,2
1300528,199
1300536,199
1300544,199
1300552,0
1300560,199
1300568,199
1300576,199
1300584,199
1300592,199
1300600,199
1300608,199
1300616,0
1300624,199
1300632,199
1300640,199
1300648,199
1300656,199
1300664,199
1300672,199
1300680,199
1300688,0
1300696,199
1300704,199
1300712,199
1300720,0
1300728,199
1300736,199
1300744,199
1300752,0
1300760,24
1300768,199
1300776,199
1300784,199
1300792,1
1300800,1
1300808,23
1300816,0
1300824,23
1300832,199
1300840,199
1300848,199
1300856,199
1300864,199
1300872,2
1300880,2
1300888,199
1300896,199
1300904,199
1300912,199
1300920,0
1300928,199
1300936,199
1300944,199
1300952,0
1300960,199
1300968,145
1300976,145
1300984,0
1300992,199
1301000,199
1301008,199
1301016,0
1301024,199
1301032,199
1301040,199
1301048,0
1301056,199
1301064,200
1301072,1
1301080,1
1301088,198
1301096,198
1301104,198
1301112,197
1301120,0
1301128,194
1301136,194
1301144,194
1301152,1
1301160,1
1301168,87
1301176,87
1301184,0
1301192,73
1301200,72
1301208,0
1301216,0
1301224,0
1301232,0
1301240,0
1301248,0
1301256,0
1301264,0
1301272,0
1301280,0
1301288,0
1301296,0
1301304,0
1301312,0
1301320,199
1301328,199
1301336,199
1301344,0
1301352,199
1301360,199
1301368,199
1301376,0
1301384,199
1301392,4
1301400,4
1301408,0
1301416,192
1301424,192
1301432,15
1301440,0
1301448,15
1301456,199
1301464,199
1301472,199
1301480,199
1301488,199
1301496,2
1301504,2
1301512,199
1301520,199
1301528,199
1301536,5
1301544,0
1301552,199
1301560,199
1301568,199
1301576,199
1301584,199
1301592,56
1301600,56
1301608,0
1301616,199
1301624,199
1301632,199
1301640,0
1301648,199
1301656,199
1301664,199
1301672,0
1301680,199
1301688,199
1301696,199
1301704,199
1301712,199
1301720,199
1301728,199
1301736,0
1301744,199
1301752,199
1301760,199
1301768,199
1301776,1
1301784,1
1301792,2
1301800,2
1301808,0
1301816,199
1301824,199
1301832,199
1301840,199
1301848,199
1301856,199
1301864,199
1301872,0
1301880,199
1301888,199
1301896,199
1301904,0
1301912,199
1301920,199
1301928,199
1301936,0
1301944,199
1301952,199
