clock, output
1300008,0
1300016,0
1300024,0
1300032,0
1300040,0
1300048,0
1300056,0
1300064,0
1300072,0
1300080,0
1300088,0
1300096,0
1300104,0
1300112,0
1300120,0
1300128,0
1300136,0
1300144,0
1300152,2
1300160,1
1300168,1
1300176,1
1300184,2
1300192,6
1300200,9
1300208,12
1300216,8
1300224,14
1300232,16
1300240,21
1300248,23
1300256,27
1300264,14
1300272,25
1300280,37
1300288,39
1300296,49
1300304,35
1300312,40
1300320,44
1300328,44
1300336,43
1300344,59
1300352,58
1300360,56
1300368,65
1300376,61
1300384,85
1300392,82
1300400,84
1300408,94
1300416,90
1300424,93
1300432,100
1300440,98
1300448,121
1300456,136
1300464,129
1300472,136
1300480,121
1300488,139
1300496,138
1300504,161
1300512,154
1300520,152
1300528,159
1300536,161
1300544,187
1300552,191
1300560,191
1300568,176
1300576,186
1300584,182
1300592,183
1300600,183
1300608,184
1300616,190
1300624,159
1300632,155
1300640,157
1300648,200
1300656,193
1300664,159
1300672,159
1300680,156
1300688,162
1300696,165
1300704,154
1300712,158
1300720,150
1300728,130
1300736,130
1300744,134
1300752,132
1300760,132
1300768,154
1300776,129
1300784,129
1300792,129
1300800,103
1300808,118
1300816,112
1300824,91
1300832,91
1300840,68
1300848,75
1300856,67
1300864,65
1300872,63
1300880,60
1300888,57
1300896,62
1300904,38
1300912,50
1300920,39
1300928,50
1300936,43
1300944,26
1300952,24
1300960,22
1300968,27
1300976,30
1300984,23
1300992,14
1301000,23
1301008,12
1301016,12
1301024,14
1301032,7
1301040,8
1301048,4
1301056,4
1301064,2
1301072,3
1301080,0
1301088,0
1301096,1
1301104,0
1301112,0
1301120,0
1301128,0
1301136,0
1301144,0
1301152,0
1301160,0
1301168,0
1301176,0
1301184,0
1301192,0
1301200,0
1301208,0
1301216,0
1301224,0
1301232,0
1301240,0
1301248,0
1301256,0
1301264,0
