clock, output
1301208,0
1301216,0
1301224,0
1301232,0
1301240,0
1301248,0
1301256,0
1301264,0
1301272,0
1301280,0
1301288,0
1301296,0
1301304,0
1301312,0
1301320,199
1301328,199
1301336,199
1301344,0
1301352,199
1301360,199
1301368,199
1301376,0
1301384,199
1301392,4
1301400,4
1301408,0
1301416,192
1301424,192
1301432,15
1301440,0
1301448,15
1301456,199
1301464,199
1301472,199
1301480,199
1301488,199
1301496,2
1301504,2
1301512,199
1301520,199
1301528,199
1301536,5
1301544,0
1301552,199
1301560,199
1301568,199
1301576,199
1301584,199
1301592,56
1301600,56
1301608,0
1301616,199
1301624,199
1301632,199
1301640,0
1301648,199
1301656,199
1301664,199
1301672,0
1301680,199
1301688,199
1301696,199
1301704,199
1301712,199
1301720,199
1301728,199
1301736,0
1301744,199
1301752,199
1301760,199
1301768,199
1301776,1
1301784,1
1301792,2
1301800,2
1301808,0
1301816,199
1301824,199
1301832,199
1301840,199
1301848,199
1301856,199
1301864,199
1301872,0
1301880,199
1301888,199
1301896,199
1301904,0
1301912,199
1301920,199
1301928,199
1301936,0
1301944,199
1301952,199
1301960,199
1301968,199
1301976,199
1301984,199
1301992,199
1302000,0
1302008,199
1302016,199
1302024,199
1302032,24
1302040,24
1302048,24
1302056,199
1302064,199
1302072,0
1302080,1
1302088,1
1302096,23
1302104,0
1302112,199
1302120,199
1302128,199
1302136,0
1302144,199
1302152,2
1302160,2
1302168,0
1302176,199
1302184,199
1302192,199
1302200,0
1302208,199
1302216,199
1302224,199
1302232,199
1302240,199
1302248,199
1302256,145
1302264,145
1302272,199
1302280,199
1302288,199
1302296,199
1302304,0
1302312,199
1302320,199
1302328,199
1302336,199
1302344,199
1302352,1
1302360,1
1302368,0
1302376,198
1302384,198
1302392,197
1302400,0
1302408,197
1302416,194
1302424,194
1302432,0
1302440,1
1302448,1
1302456,87
1302464,87
1302472,74
1302480,72
1302488,0
1302496,0
1302504,0
1302512,0
1302520,0
1302528,0
1302536,0
1302544,0
1302552,0
1302560,0
1302568,0
1302576,0
1302584,0
1302592,0
1302600,100
1302608,199
