clock, output
1300002,0
1300004,0
1300006,0
1300008,0
1300010,0
1300012,0
1300014,0
1300016,0
1300018,0
1300020,0
1300022,0
1300024,0
1300026,0
1300028,0
1300030,0
1300032,0
1300034,0
1300036,0
1300038,0
1300040,0
1300042,0
1300044,0
1300046,0
1300048,0
1300050,0
1300052,0
1300054,0
1300056,0
1300058,0
1300060,0
1300062,0
1300064,0
1300066,0
1300068,0
1300070,0
1300072,0
1300074,0
1300076,0
1300078,0
1300080,0
1300082,0
1300084,0
1300086,0
1300088,0
1300090,0
1300092,0
1300094,0
1300096,0
1300098,0
1300100,0
1300102,0
1300104,0
1300106,0
1300108,0
1300110,0
1300112,0
1300114,0
1300116,0
1300118,0
1300120,0
1300122,0
1300124,0
1300126,0
1300128,0
1300130,0
1300132,0
1300134,0
1300136,0
1300138,0
1300140,0
1300142,0
1300144,0
1300146,0
1300148,0
1300150,0
1300152,0
1300154,0
1300156,0
1300158,0
1300160,0
1300162,0
1300164,0
1300166,0
1300168,0
1300170,0
1300172,0
1300174,0
1300176,0
1300178,0
1300180,0
1300182,0
1300184,0
1300186,0
1300188,0
1300190,0
1300192,0
1300194,0
1300196,2
1300198,2
1300200,2
1300202,2
1300204,2
1300206,1
1300208,1
1300210,0
1300212,0
1300214,0
1300216,0
1300218,0
1300220,1
1300222,1
1300224,1
1300226,8
1300228,8
1300230,2
1300232,2
1300234,2
1300236,5
1300238,5
1300240,6
1300242,6
1300244,6
1300246,9
1300248,9
1300250,11
1300252,11
1300254,11
1300256,6
1300258,6
1300260,11
1300262,11
1300264,11
1300266,9
1300268,9
1300270,10
1300272,10
1300274,10
1300276,12
1300278,12
1300280,17
1300282,17
1300284,17
1300286,16
1300288,16
1300290,20
1300292,20
1300294,20
1300296,21
1300298,21
1300300,25
1300302,25
1300304,25
1300306,22
1300308,22
1300310,14
1300312,14
1300314,14
1300316,20
1300318,20
1300320,24
1300322,24
1300324,24
1300326,36
1300328,36
1300330,32
1300332,32
1300334,32
1300336,34
1300338,34
1300340,40
1300342,40
1300344,40
1300346,46
1300348,46
1300350,33
1300352,33
1300354,33
1300356,41
1300358,41
1300360,41
1300362,41
1300364,41
1300366,39
1300368,39
1300370,46
1300372,46
1300374,46
1300376,65
1300378,65
1300380,40
1300382,40
1300384,40
1300386,38
1300388,38
1300390,52
1300392,52
1300394,52
1300396,62
1300398,62
1300400,65
1300402,65
1300404,65
1300406,47
1300408,47
1300410,60
1300412,60
1300414,60
1300416,49
1300418,49
1300420,65
1300422,65
1300424,65
1300426,75
1300428,75
1300430,65
1300432,65
1300434,65
1300436,67
1300438,67
1300440,87
1300442,87
1300444,87
1300446,70
1300448,70
1300450,88
1300452,88
1300454,88
1300456,80
1300458,80
1300460,98
1300462,98
1300464,98
1300466,100
1300468,100
1300470,89
1300472,89
1300474,89
1300476,109
1300478,109
1300480,114
1300482,114
1300484,114
1300486,86
1300488,86
1300490,105
1300492,105
1300494,105
1300496,111
1300498,111
1300500,125
1300502,125
1300504,125
1300506,138
1300508,138
1300510,121
1300512,121
1300514,121
1300516,138
1300518,138
1300520,127
1300522,127
1300524,127
1300526,108
1300528,108
1300530,136
1300532,136
1300534,136
1300536,129
1300538,129
1300540,131
1300542,131
1300544,131
1300546,144
1300548,144
1300550,149
1300552,149
1300554,149
1300556,151
1300558,151
1300560,143
1300562,143
1300564,143
1300566,147
1300568,147
1300570,162
1300572,162
1300574,162
1300576,156
1300578,156
1300580,161
1300582,161
1300584,161
1300586,143
1300588,143
1300590,190
1300592,190
1300594,190
1300596,172
1300598,172
1300600,163
1300602,163
1300604,163
1300606,152
1300608,152
1300610,153
1300612,153
1300614,153
1300616,169
1300618,169
1300620,168
1300622,168
1300624,168
1300626,181
1300628,181
1300630,171
1300632,171
1300634,171
1300636,181
1300638,181
1300640,160
1300642,160
1300644,160
1300646,166
1300648,166
1300650,189
1300652,189
1300654,189
1300656,167
1300658,167
1300660,176
1300662,176
1300664,176
1300666,173
1300668,173
1300670,167
1300672,167
1300674,167
1300676,171
1300678,171
1300680,158
1300682,158
1300684,158
1300686,146
1300688,146
1300690,168
1300692,168
1300694,168
1300696,150
1300698,150
1300700,168
1300702,168
1300704,168
1300706,200
1300708,200
1300710,188
1300712,188
1300714,188
1300716,153
1300718,153
1300720,168
1300722,168
1300724,168
1300726,163
1300728,163
1300730,166
1300732,166
1300734,166
1300736,186
1300738,186
1300740,148
1300742,148
1300744,148
1300746,168
1300748,168
1300750,154
1300752,154
1300754,154
1300756,136
1300758,136
1300760,157
1300762,157
1300764,157
1300766,155
1300768,155
1300770,141
1300772,141
1300774,141
1300776,172
1300778,172
1300780,137
1300782,137
1300784,137
1300786,139
1300788,139
1300790,145
1300792,145
1300794,145
1300796,134
1300798,134
1300800,142
1300802,142
1300804,142
1300806,134
1300808,134
1300810,137
1300812,137
1300814,137
1300816,138
1300818,138
1300820,114
1300822,114
1300824,114
1300826,106
1300828,106
1300830,121
1300832,121
1300834,121
1300836,128
1300838,128
1300840,125
1300842,125
1300844,125
1300846,99
1300848,99
1300850,105
1300852,105
1300854,105
1300856,110
1300858,110
1300860,106
1300862,106
1300864,106
1300866,87
1300868,87
1300870,87
1300872,87
1300874,87
1300876,82
1300878,82
1300880,89
1300882,89
1300884,89
1300886,62
1300888,62
1300890,85
1300892,85
1300894,85
1300896,62
1300898,62
1300900,89
1300902,89
1300904,89
1300906,75
1300908,75
1300910,61
1300912,61
1300914,61
1300916,59
1300918,59
1300920,61
1300922,61
1300924,61
1300926,57
1300928,57
1300930,52
1300932,52
1300934,52
1300936,54
1300938,54
1300940,53
1300942,53
1300944,53
1300946,52
1300948,52
1300950,35
1300952,35
1300954,35
1300956,45
1300958,45
1300960,44
1300962,44
1300964,44
1300966,29
1300968,29
1300970,46
1300972,46
1300974,46
1300976,48
1300978,48
1300980,45
1300982,45
1300984,45
1300986,39
1300988,39
1300990,28
1300992,28
1300994,28
1300996,33
1300998,33
1301000,21
1301002,21
1301004,21
1301006,22
1301008,22
1301010,22
1301012,22
1301014,22
1301016,24
1301018,24
1301020,29
1301022,29
1301024,29
1301026,26
1301028,26
1301030,22
1301032,22
1301034,22
1301036,20
1301038,20
1301040,10
1301042,10
1301044,10
1301046,11
1301048,11
1301050,13
1301052,13
1301054,13
1301056,12
1301058,12
1301060,12
1301062,12
1301064,12
1301066,11
1301068,11
1301070,14
1301072,14
1301074,14
1301076,7
1301078,7
1301080,7
1301082,7
1301084,7
1301086,8
1301088,8
1301090,3
1301092,3
1301094,3
1301096,4
1301098,4
1301100,4
1301102,4
1301104,4
1301106,2
1301108,2
1301110,2
1301112,2
1301114,2
1301116,1
1301118,1
1301120,3
1301122,3
1301124,3
1301126,0
1301128,0
1301130,0
1301132,0
1301134,0
1301136,0
1301138,0
1301140,1
1301142,1
1301144,1
1301146,1
1301148,1
1301150,0
1301152,0
1301154,0
1301156,0
1301158,0
1301160,0
1301162,0
1301164,0
1301166,0
1301168,0
1301170,0
1301172,0
1301174,0
1301176,0
1301178,0
1301180,0
1301182,0
1301184,0
1301186,0
1301188,0
1301190,0
1301192,0
1301194,0
1301196,0
1301198,0
1301200,0
1301202,0
1301204,0
1301206,0
1301208,0
1301210,0
1301212,0
1301214,0
1301216,0
1301218,0
1301220,0
1301222,0
1301224,0
1301226,0
1301228,0
1301230,0
1301232,0
1301234,0
1301236,0
1301238,0
1301240,0
1301242,0
1301244,0
1301246,0
1301248,0
1301250,0
1301252,0
1301254,0
1301256,0
1301258,0
1301260,0
1301262,0
1301264,0
1301266,0
1301268,0
1301270,0
1301272,0
1301274,0
1301276,0
1301278,0
1301280,0
1301282,0
1301284,0
1301286,0
1301288,0
1301290,0
1301292,0
1301294,0
1301296,0
1301298,0
1301300,0
1301302,0
1301304,0
1301306,0
1301308,0
1301310,0
1301312,0
1301314,0
1301316,0
1301318,0
1301320,0
1301322,0
1301324,0
1301326,0
1301328,0
1301330,0
1301332,0
1301334,0
1301336,0
1301338,0
1301340,0
1301342,0
1301344,0
1301346,0
1301348,0
1301350,0
1301352,0
1301354,0
1301356,0
1301358,0
1301360,0
1301362,0
1301364,0
1301366,0
1301368,0
1301370,0
1301372,0
1301374,0
1301376,0
1301378,0
1301380,0
1301382,0
1301384,0
1301386,0
