clock, output
1301186,0
1301188,0
1301190,0
1301192,0
1301194,0
1301196,0
1301198,0
1301200,0
1301202,0
1301204,0
1301206,0
1301208,0
1301210,0
1301212,0
1301214,0
1301216,0
1301218,0
1301220,0
1301222,0
1301224,0
1301226,0
1301228,0
1301230,0
1301232,0
1301234,0
1301236,0
1301238,0
1301240,0
1301242,0
1301244,0
1301246,0
1301248,0
1301250,0
1301252,0
1301254,0
1301256,0
1301258,0
1301260,0
1301262,0
1301264,0
1301266,0
1301268,0
1301270,0
1301272,0
1301274,0
1301276,0
1301278,0
1301280,36
1301282,36
1301284,43
1301286,43
1301288,43
1301290,46
1301292,46
1301294,57
1301296,57
1301298,57
1301300,69
1301302,69
1301304,68
1301306,68
1301308,68
1301310,82
1301312,82
1301314,56
1301316,56
1301318,56
1301320,73
1301322,73
1301324,83
1301326,83
1301328,83
1301330,95
1301332,95
1301334,102
1301336,102
1301338,102
1301340,99
1301342,99
1301344,104
1301346,104
1301348,104
1301350,109
1301352,109
1301354,106
1301356,106
1301358,106
1301360,110
1301362,110
1301364,123
1301366,123
1301368,123
1301370,125
1301372,125
1301374,145
1301376,145
1301378,145
1301380,137
1301382,137
1301384,136
1301386,136
1301388,136
1301390,135
1301392,135
1301394,137
1301396,137
1301398,137
1301400,161
1301402,161
1301404,146
1301406,146
1301408,146
1301410,144
1301412,144
1301414,149
1301416,149
1301418,149
1301420,156
1301422,156
1301424,177
1301426,177
1301428,177
1301430,151
1301432,151
1301434,172
1301436,172
1301438,172
1301440,160
1301442,160
1301444,159
1301446,159
1301448,159
1301450,152
1301452,152
1301454,182
1301456,182
1301458,182
1301460,164
1301462,164
1301464,168
1301466,168
1301468,168
1301470,174
1301472,174
1301474,189
1301476,189
1301478,189
1301480,193
1301482,193
1301484,178
1301486,178
1301488,178
1301490,141
1301492,141
1301494,163
1301496,163
1301498,163
1301500,141
1301502,141
1301504,139
1301506,139
1301508,139
1301510,127
1301512,127
1301514,142
1301516,142
1301518,142
1301520,128
1301522,128
1301524,122
1301526,122
1301528,122
1301530,124
1301532,124
1301534,140
1301536,140
1301538,140
1301540,110
1301542,110
1301544,98
1301546,98
1301548,98
1301550,96
1301552,96
1301554,122
1301556,122
1301558,122
1301560,107
1301562,107
1301564,88
1301566,88
1301568,88
1301570,126
1301572,126
1301574,96
1301576,96
1301578,96
1301580,116
1301582,116
1301584,90
1301586,90
1301588,90
1301590,95
1301592,95
1301594,104
1301596,104
1301598,104
1301600,106
1301602,106
1301604,91
1301606,91
1301608,91
1301610,85
