clock, output
130810,0
130812,0
130814,0
130816,0
130818,0
130820,0
130822,0
130824,0
130826,0
130828,0
130830,0
130832,0
130834,0
130836,0
130838,0
130840,0
130842,0
130844,0
130846,0
130848,0
130850,0
130852,0
130854,0
130856,0
130858,0
130860,0
130862,0
130864,0
130866,0
130868,0
130870,0
130872,0
130874,0
130876,0
130878,0
130880,0
130882,0
130884,0
130886,0
130888,0
130890,0
130892,0
130894,0
130896,180
130898,180
130900,72
130902,72
130904,72
130906,72
130908,72
130910,72
130912,72
130914,72
130916,36
130918,36
130920,36
130922,36
130924,36
130926,36
130928,36
130930,36
130932,36
130934,36
130936,36
130938,36
130940,36
130942,36
130944,36
130946,36
130948,36
130950,0
130952,0
130954,0
130956,36
130958,36
130960,36
130962,36
130964,36
130966,36
130968,36
130970,0
130972,0
130974,0
130976,36
130978,36
130980,36
130982,36
130984,36
130986,0
130988,0
130990,36
130992,36
130994,36
130996,0
130998,0
131000,36
131002,36
131004,36
131006,36
131008,36
131010,0
131012,0
131014,0
131016,36
131018,36
131020,0
131022,0
131024,0
131026,36
131028,36
131030,0
131032,0
131034,0
131036,36
131038,36
131040,0
131042,0
131044,0
131046,36
131048,36
131050,0
131052,0
131054,0
131056,36
131058,36
131060,0
131062,0
131064,0
131066,36
131068,36
131070,0
131072,0
131074,0
131076,36
131078,36
131080,0
131082,0
131084,0
131086,36
131088,36
131090,0
131092,0
131094,0
131096,36
131098,36
131100,0
131102,0
131104,0
131106,36
131108,36
131110,0
131112,0
131114,0
131116,36
131118,36
131120,0
131122,0
131124,0
131126,0
131128,0
131130,36
131132,36
131134,36
131136,0
131138,0
131140,36
131142,36
131144,36
131146,0
131148,0
131150,0
131152,0
131154,0
131156,36
131158,36
131160,0
131162,0
131164,0
131166,36
131168,36
131170,0
131172,0
131174,0
131176,32
131178,32
131180,4
131182,4
131184,4
131186,0
131188,0
131190,36
131192,36
131194,36
131196,0
131198,0
131200,0
131202,0
131204,0
131206,36
131208,36
131210,0
131212,0
131214,0
131216,36
131218,36
131220,0
131222,0
131224,0
131226,0
131228,0
131230,36
131232,36
131234,36
131236,0
131238,0
131240,36
131242,36
131244,36
131246,0
131248,0
131250,0
131252,0
131254,0
131256,36
131258,36
131260,0
131262,0
131264,0
131266,0
131268,0
131270,36
131272,36
131274,36
131276,0
131278,0
131280,0
131282,0
131284,0
131286,36
131288,36
131290,0
131292,0
131294,0
131296,36
131298,36
131300,0
131302,0
131304,0
131306,0
131308,0
131310,36
131312,36
131314,36
131316,0
131318,0
131320,0
131322,0
131324,0
131326,36
131328,36
131330,0
131332,0
131334,0
131336,0
131338,0
131340,36
131342,36
131344,36
131346,0
131348,0
131350,0
131352,0
131354,0
131356,36
131358,36
131360,0
131362,0
131364,0
131366,32
131368,32
131370,4
131372,4
131374,4
131376,0
131378,0
131380,36
131382,36
131384,36
131386,0
131388,0
131390,0
131392,0
131394,0
131396,36
131398,36
131400,0
131402,0
131404,0
131406,0
131408,0
131410,36
131412,36
131414,36
131416,0
131418,0
131420,0
131422,0
131424,0
131426,36
131428,36
131430,0
131432,0
131434,0
131436,0
131438,0
131440,36
131442,36
131444,36
131446,0
131448,0
131450,0
131452,0
131454,0
131456,36
131458,36
131460,0
131462,0
131464,0
131466,0
131468,0
131470,36
131472,36
131474,36
131476,0
131478,0
131480,0
131482,0
131484,0
131486,36
131488,36
131490,0
131492,0
131494,0
131496,0
131498,0
131500,36
131502,36
131504,36
131506,0
131508,0
131510,0
131512,0
131514,0
131516,36
131518,36
131520,0
131522,0
131524,0
131526,0
131528,0
131530,36
131532,36
131534,36
131536,0
131538,0
131540,29
131542,29
131544,29
131546,7
131548,7
131550,0
131552,0
131554,0
131556,36
131558,36
131560,0
131562,0
131564,0
131566,0
131568,0
131570,36
131572,36
131574,36
131576,0
131578,0
131580,0
131582,0
131584,0
131586,36
131588,36
131590,0
131592,0
131594,0
131596,0
131598,0
131600,36
131602,36
131604,36
131606,0
131608,0
131610,0
131612,0
131614,0
131616,36
131618,36
131620,0
131622,0
131624,0
131626,0
131628,0
131630,36
131632,36
131634,36
131636,0
131638,0
131640,0
131642,0
131644,0
131646,36
131648,36
131650,0
131652,0
131654,0
131656,34
131658,34
131660,2
131662,2
131664,2
131666,0
131668,0
131670,36
131672,36
131674,36
131676,0
131678,0
131680,0
131682,0
131684,0
131686,36
131688,36
131690,0
131692,0
131694,0
131696,0
131698,0
131700,36
131702,36
131704,36
131706,0
131708,0
131710,0
131712,0
131714,0
131716,36
131718,36
131720,0
131722,0
131724,0
131726,36
131728,36
131730,0
131732,0
131734,0
131736,0
131738,0
131740,36
131742,36
131744,36
131746,0
131748,0
131750,0
131752,0
131754,0
131756,36
131758,36
131760,0
131762,0
131764,0
131766,36
131768,36
131770,0
131772,0
131774,0
131776,0
131778,0
131780,36
131782,36
131784,36
131786,0
131788,0
131790,36
131792,36
131794,36
131796,0
131798,0
131800,0
131802,0
131804,0
131806,36
131808,36
131810,0
131812,0
131814,0
131816,36
131818,36
131820,0
131822,0
131824,0
131826,0
131828,0
131830,36
131832,36
131834,36
131836,0
131838,0
131840,36
131842,36
131844,36
131846,0
131848,0
131850,36
131852,36
131854,36
131856,0
131858,0
131860,0
131862,0
131864,0
131866,36
131868,36
131870,0
131872,0
131874,0
131876,36
131878,36
131880,0
131882,0
131884,0
131886,36
131888,36
131890,0
131892,0
131894,0
131896,36
131898,36
131900,0
131902,0
131904,0
131906,36
131908,36
131910,0
131912,0
131914,0
131916,36
131918,36
131920,0
131922,0
131924,0
131926,36
131928,36
131930,0
131932,0
131934,0
131936,36
131938,36
131940,0
131942,0
131944,0
131946,36
131948,36
131950,0
131952,0
131954,0
131956,36
131958,36
131960,0
131962,0
131964,0
131966,36
131968,36
131970,0
131972,0
131974,0
131976,36
131978,36
131980,36
131982,36
131984,36
131986,0
131988,0
131990,36
131992,36
131994,36
131996,36
131998,36
132000,0
132002,0
132004,0
132006,36
132008,36
132010,36
132012,36
132014,36
132016,0
132018,0
132020,36
132022,36
132024,36
132026,36
132028,36
132030,36
132032,36
132034,36
132036,36
132038,36
132040,36
132042,36
132044,36
132046,35
132048,35
132050,37
132052,37
132054,37
132056,36
132058,36
132060,36
132062,36
132064,36
132066,36
132068,36
132070,72
132072,72
132074,72
132076,72
132078,72
132080,200
132082,200
132084,200
132086,1
132088,1
132090,0
132092,0
132094,0
132096,0
132098,0
132100,0
132102,0
132104,0
132106,0
132108,0
132110,0
132112,0
132114,0
132116,0
132118,0
132120,0
132122,0
132124,0
132126,0
132128,0
132130,0
132132,0
132134,0
132136,0
132138,0
132140,0
132142,0
132144,0
132146,0
132148,0
132150,0
132152,0
132154,0
132156,0
132158,0
132160,0
132162,0
132164,0
132166,0
132168,0
132170,0
132172,0
132174,0
132176,0
132178,0
132180,180
132182,180
132184,72
132186,72
132188,72
132190,72
132192,72
132194,72
132196,72
132198,72
132200,36
132202,36
132204,36
132206,36
132208,36
132210,36
132212,36
132214,36
132216,36
132218,36
132220,36
132222,36
132224,36
132226,36
132228,36
132230,36
132232,36
132234,0
132236,0
132238,0
132240,36
132242,36
132244,36
132246,36
132248,36
132250,36
132252,36
132254,0
132256,0
132258,0
132260,36
132262,36
132264,36
132266,36
132268,36
132270,0
132272,0
132274,36
132276,36
132278,36
132280,0
132282,0
132284,36
132286,36
132288,36
132290,36
132292,36
132294,0
132296,0
