clock, output
1300002,199
1300004,199
1300006,199
1300008,199
1300010,199
1300012,199
1300014,199
1300016,199
1300018,199
1300020,199
1300022,0
1300024,0
1300026,0
1300028,199
1300030,199
1300032,199
1300034,199
1300036,199
1300038,199
1300040,199
1300042,199
1300044,199
1300046,199
1300048,199
1300050,199
1300052,199
1300054,199
1300056,199
1300058,0
1300060,0
1300062,199
1300064,199
1300066,199
1300068,199
1300070,199
1300072,199
1300074,199
1300076,199
1300078,199
1300080,199
1300082,199
1300084,199
1300086,199
1300088,199
1300090,199
1300092,0
1300094,0
1300096,0
1300098,199
1300100,199
1300102,199
1300104,199
1300106,199
1300108,199
1300110,199
1300112,199
1300114,199
1300116,199
1300118,199
1300120,199
1300122,0
1300124,0
1300126,0
1300128,199
1300130,199
1300132,199
1300134,199
1300136,199
1300138,199
1300140,199
1300142,199
1300144,199
1300146,199
1300148,199
1300150,199
1300152,199
1300154,199
1300156,199
1300158,0
1300160,0
1300162,199
1300164,199
1300166,199
1300168,199
1300170,199
1300172,199
1300174,199
1300176,199
1300178,199
1300180,199
1300182,199
1300184,199
1300186,199
1300188,0
1300190,0
1300192,199
1300194,199
1300196,199
1300198,199
1300200,199
1300202,199
1300204,199
1300206,199
1300208,199
1300210,199
1300212,199
1300214,199
1300216,199
1300218,199
1300220,199
1300222,0
1300224,0
1300226,0
1300228,199
1300230,199
1300232,199
1300234,199
1300236,199
1300238,199
1300240,199
1300242,199
1300244,199
1300246,199
1300248,199
1300250,199
1300252,199
1300254,199
1300256,199
1300258,0
1300260,0
1300262,199
1300264,199
1300266,199
1300268,199
1300270,199
1300272,199
1300274,199
1300276,199
1300278,199
1300280,199
1300282,199
1300284,199
1300286,199
1300288,0
1300290,0
1300292,199
1300294,199
1300296,199
1300298,199
1300300,199
1300302,199
1300304,199
1300306,199
1300308,199
1300310,199
1300312,199
1300314,199
1300316,199
1300318,199
1300320,199
1300322,0
1300324,0
1300326,0
1300328,199
1300330,199
1300332,199
1300334,199
1300336,199
1300338,199
1300340,199
1300342,199
1300344,199
1300346,199
1300348,199
1300350,199
1300352,0
1300354,0
1300356,0
1300358,199
1300360,199
1300362,199
1300364,199
1300366,199
1300368,199
1300370,199
1300372,199
1300374,199
1300376,199
1300378,199
1300380,199
1300382,199
1300384,199
1300386,199
1300388,0
1300390,0
1300392,199
1300394,199
1300396,199
1300398,199
1300400,199
1300402,199
1300404,199
1300406,199
1300408,199
1300410,199
1300412,199
1300414,199
1300416,199
1300418,199
1300420,199
1300422,0
1300424,0
1300426,0
1300428,199
1300430,199
1300432,199
1300434,199
1300436,199
1300438,199
1300440,199
1300442,199
1300444,199
1300446,199
1300448,199
1300450,199
1300452,0
1300454,0
1300456,0
1300458,199
1300460,199
1300462,199
1300464,199
1300466,199
1300468,199
1300470,199
1300472,199
1300474,199
1300476,199
1300478,199
1300480,199
1300482,199
1300484,199
1300486,199
1300488,0
1300490,0
1300492,199
1300494,199
1300496,199
1300498,199
1300500,199
1300502,199
1300504,199
1300506,199
1300508,199
1300510,199
1300512,199
1300514,199
1300516,199
1300518,199
1300520,199
1300522,0
1300524,0
1300526,0
1300528,199
1300530,199
1300532,199
1300534,199
1300536,199
1300538,199
1300540,199
1300542,199
1300544,199
1300546,199
1300548,199
1300550,199
1300552,0
1300554,0
1300556,0
1300558,199
1300560,199
1300562,199
1300564,199
1300566,199
1300568,199
1300570,199
1300572,199
1300574,199
1300576,199
1300578,199
1300580,199
1300582,199
1300584,199
1300586,199
1300588,0
1300590,0
1300592,199
1300594,199
1300596,199
1300598,199
1300600,199
1300602,199
1300604,199
1300606,199
1300608,199
1300610,199
1300612,199
1300614,199
1300616,199
1300618,0
1300620,0
1300622,199
1300624,199
1300626,199
1300628,199
1300630,199
1300632,199
1300634,199
1300636,199
1300638,199
1300640,199
1300642,199
1300644,199
1300646,199
1300648,199
1300650,199
1300652,0
1300654,0
1300656,0
1300658,199
1300660,199
1300662,199
1300664,199
1300666,199
1300668,199
1300670,199
1300672,199
1300674,199
1300676,199
1300678,199
1300680,199
1300682,199
1300684,199
1300686,199
1300688,0
1300690,0
1300692,199
1300694,199
1300696,199
1300698,199
1300700,199
1300702,199
1300704,199
1300706,199
1300708,199
1300710,199
1300712,199
1300714,199
1300716,199
1300718,0
1300720,0
1300722,199
1300724,199
1300726,199
1300728,199
1300730,199
1300732,199
1300734,199
1300736,199
1300738,199
1300740,199
1300742,199
1300744,199
1300746,199
1300748,199
1300750,199
1300752,0
1300754,0
1300756,0
1300758,199
1300760,199
1300762,199
1300764,199
1300766,199
1300768,199
1300770,199
1300772,199
1300774,199
1300776,199
1300778,199
1300780,199
1300782,0
1300784,0
1300786,0
1300788,199
1300790,199
1300792,199
1300794,199
1300796,199
1300798,199
1300800,199
1300802,199
1300804,199
1300806,199
1300808,199
1300810,199
1300812,199
1300814,199
1300816,199
1300818,0
1300820,0
1300822,199
1300824,199
1300826,199
1300828,199
1300830,199
1300832,199
1300834,199
1300836,199
1300838,199
1300840,199
1300842,199
1300844,199
1300846,199
1300848,199
1300850,199
1300852,0
1300854,0
1300856,0
1300858,199
1300860,199
1300862,199
1300864,199
1300866,199
1300868,199
1300870,199
1300872,199
1300874,199
1300876,199
1300878,199
1300880,199
1300882,0
1300884,0
1300886,0
1300888,199
1300890,199
1300892,199
1300894,199
1300896,199
1300898,199
1300900,199
1300902,199
1300904,199
1300906,199
1300908,199
1300910,199
1300912,199
1300914,199
1300916,199
1300918,0
1300920,0
1300922,199
1300924,199
1300926,199
1300928,200
1300930,200
1300932,100
1300934,100
1300936,100
1300938,0
1300940,0
1300942,0
1300944,0
1300946,0
1300948,0
1300950,0
1300952,0
1300954,0
1300956,0
1300958,0
1300960,0
1300962,0
1300964,0
1300966,0
1300968,0
1300970,0
1300972,0
1300974,0
1300976,0
1300978,0
