clock, output
1300004,13
1300008,12
1300012,11
1300016,14
1300020,7
1300024,8
1300028,3
1300032,4
1300036,2
1300040,2
1300044,1
1300048,0
1300052,0
1300056,0
1300060,1
1300064,0
1300068,0
1300072,0
1300076,0
1300080,0
1300084,0
1300088,0
1300092,0
1300096,0
1300100,0
1300104,0
1300108,0
1300112,0
1300116,0
1300120,0
1300124,0
1300128,0
1300132,0
1300136,0
1300140,0
1300144,0
1300148,0
1300152,0
1300156,0
1300160,0
1300164,0
1300168,0
1300172,0
1300176,0
1300180,0
1300184,0
1300188,0
1300192,0
1300196,0
1300200,0
1300204,0
1300208,0
1300212,0
1300216,0
1300220,0
1300224,0
1300228,0
1300232,0
1300236,0
1300240,0
1300244,0
1300248,0
1300252,0
1300256,0
1300260,2
1300264,2
1300268,1
1300272,0
1300276,1
1300280,8
1300284,5
1300288,6
1300292,9
1300296,6
1300300,11
1300304,9
1300308,12
1300312,17
1300316,16
1300320,21
1300324,25
1300328,22
1300332,20
1300336,24
1300340,36
1300344,34
1300348,40
1300352,46
1300356,41
1300360,41
1300364,39
1300368,65
1300372,40
1300376,38
1300380,62
1300384,65
1300388,47
1300392,49
1300396,65
1300400,75
1300404,67
1300408,87
1300412,70
1300416,80
1300420,98
1300424,100
1300428,109
1300432,114
1300436,86
1300440,111
1300444,125
1300448,138
1300452,138
1300456,127
1300460,108
1300464,129
1300468,131
1300472,144
1300476,151
1300480,143
1300484,147
1300488,156
1300492,161
1300496,143
1300500,172
1300504,163
1300508,152
1300512,169
1300516,168
1300520,181
1300524,181
1300528,160
1300532,166
1300536,167
1300540,176
1300544,173
1300548,171
1300552,158
1300556,146
1300560,150
1300564,168
1300568,200
1300572,153
1300576,168
1300580,163
1300584,186
1300588,148
1300592,168
1300596,136
1300600,157
1300604,155
1300608,172
1300612,137
1300616,139
1300620,134
1300624,142
1300628,134
1300632,138
1300636,114
1300640,106
1300644,128
1300648,125
1300652,99
1300656,110
1300660,106
1300664,87
1300668,82
1300672,89
1300676,62
1300680,62
1300684,89
1300688,75
1300692,59
1300696,61
1300700,57
1300704,54
1300708,53
1300712,52
1300716,45
1300720,44
1300724,29
1300728,48
1300732,45
1300736,39
1300740,33
1300744,21
1300748,22
1300752,24
1300756,29
1300760,26
1300764,20
1300768,10
1300772,11
1300776,12
1300780,12
1300784,11
1300788,7
1300792,7
1300796,8
1300800,4
1300804,4
1300808,2
1300812,1
1300816,3
1300820,0
1300824,0
1300828,1
1300832,1
1300836,0
1300840,0
1300844,0
1300848,0
1300852,0
1300856,0
1300860,0
1300864,0
1300868,0
1300872,0
1300876,0
1300880,0
1300884,0
1300888,0
1300892,0
1300896,0
1300900,0
1300904,0
1300908,0
1300912,0
1300916,0
1300920,0
1300924,0
1300928,0
1300932,0
1300936,0
1300940,0
1300944,0
1300948,0
1300952,0
1300956,0
1300960,0
1300964,0
1300968,0
1300972,0
1300976,0
1300980,0
1300984,0
1300988,0
1300992,0
1300996,0
1301000,0
1301004,0
1301008,0
1301012,0
1301016,0
1301020,0
1301024,0
1301028,0
1301032,2
1301036,1
1301040,0
1301044,0
1301048,8
1301052,2
1301056,5
1301060,9
1301064,11
1301068,6
1301072,9
1301076,10
1301080,12
1301084,16
1301088,20
1301092,21
1301096,22
1301100,14
1301104,20
1301108,36
