clock, output
1300004,126
1300008,116
1300012,90
1300016,95
1300020,106
1300024,91
1300028,85
1300032,90
1300036,96
1300040,79
1300044,108
1300048,99
1300052,97
1300056,105
1300060,81
1300064,88
1300068,100
1300072,108
1300076,93
1300080,89
1300084,83
1300088,94
1300092,86
1300096,109
1300100,82
1300104,81
1300108,84
1300112,78
1300116,92
1300120,75
1300124,92
1300128,112
1300132,87
1300136,77
1300140,91
1300144,89
1300148,83
1300152,79
1300156,73
1300160,73
1300164,76
1300168,73
1300172,94
1300176,84
1300180,73
1300184,70
1300188,81
1300192,87
1300196,88
1300200,83
1300204,65
1300208,74
1300212,99
1300216,88
1300220,73
1300224,87
1300228,80
1300232,76
1300236,95
1300240,83
1300244,96
1300248,105
1300252,78
1300256,89
1300260,80
1300264,74
1300268,67
1300272,95
1300276,82
1300280,97
1300284,83
1300288,87
1300292,88
1300296,81
1300300,85
1300304,91
1300308,119
1300312,78
1300316,110
1300320,87
1300324,106
1300328,116
1300332,82
1300336,109
1300340,99
1300344,98
1300348,110
1300352,95
1300356,101
1300360,103
1300364,109
1300368,96
1300372,98
1300376,114
1300380,122
1300384,120
1300388,115
1300392,119
1300396,119
1300400,118
1300404,134
1300408,138
1300412,141
1300416,161
1300420,199
1300424,200
1300428,157
1300432,175
1300436,166
1300440,152
1300444,184
1300448,167
1300452,167
1300456,154
1300460,149
1300464,149
1300468,146
1300472,163
1300476,144
1300480,119
1300484,127
1300488,129
1300492,105
1300496,93
1300500,93
1300504,110
1300508,117
1300512,86
1300516,87
1300520,64
1300524,81
1300528,69
1300532,62
1300536,41
1300540,33
1300544,0
1300548,0
1300552,0
1300556,0
1300560,0
1300564,0
1300568,0
1300572,0
1300576,0
1300580,0
1300584,0
1300588,0
1300592,0
1300596,0
1300600,36
1300604,46
1300608,57
1300612,69
1300616,82
1300620,56
1300624,73
1300628,95
1300632,102
1300636,99
1300640,109
1300644,106
1300648,110
1300652,125
1300656,145
1300660,137
1300664,135
1300668,137
1300672,161
1300676,144
1300680,149
1300684,156
1300688,151
1300692,172
1300696,160
1300700,152
1300704,182
1300708,164
1300712,174
1300716,189
1300720,193
1300724,141
1300728,163
1300732,141
1300736,127
1300740,142
1300744,128
1300748,124
1300752,140
1300756,110
1300760,96
1300764,122
1300768,107
1300772,126
1300776,96
1300780,116
1300784,95
1300788,104
1300792,106
1300796,85
1300800,120
1300804,90
1300808,79
1300812,105
1300816,108
1300820,97
1300824,86
1300828,105
1300832,88
1300836,87
1300840,100
1300844,93
1300848,100
1300852,89
1300856,94
1300860,90
1300864,86
1300868,82
1300872,70
1300876,81
1300880,78
1300884,94
1300888,92
1300892,92
1300896,74
1300900,112
1300904,77
1300908,70
1300912,91
1300916,83
1300920,78
1300924,79
1300928,73
1300932,70
1300936,76
1300940,94
1300944,93
1300948,84
1300952,70
1300956,96
1300960,81
1300964,88
1300968,84
1300972,83
1300976,74
1300980,83
1300984,99
1300988,73
1300992,91
1300996,87
1301000,76
1301004,73
1301008,95
1301012,96
1301016,81
1301020,105
1301024,89
1301028,82
1301032,80
1301036,67
1301040,81
1301044,95
1301048,97
1301052,94
1301056,83
1301060,88
1301064,93
1301068,81
1301072,91
1301076,81
1301080,119
1301084,110
1301088,94
1301092,87
1301096,116
1301100,114
1301104,82
1301108,99
1301112,109
1301116,98
1301120,95
1301124,109
1301128,101
1301132,109
1301136,95
1301140,96
1301144,114
1301148,111
1301152,122
1301156,115
1301160,119
1301164,119
1301168,118
1301172,127
1301176,134
1301180,141
1301184,198
1301188,161
1301192,200
1301196,197
1301200,157
1301204,166
1301208,170
1301212,152
1301216,167
1301220,176
1301224,167
1301228,149
1301232,135
1301236,149
1301240,163
1301244,152
1301248,144
1301252,127
1301256,115
1301260,129
1301264,93
1301268,92
1301272,93
1301276,117
1301280,92
1301284,86
1301288,64
1301292,73
1301296,81
1301300,62
1301304,46
1301308,41
1301312,0
1301316,0
1301320,0
1301324,0
1301328,0
1301332,0
1301336,0
1301340,0
1301344,0
1301348,0
1301352,0
1301356,0
1301360,0
1301364,0
1301368,36
1301372,43
1301376,46
1301380,69
1301384,68
1301388,82
1301392,73
1301396,83
1301400,95
1301404,99
1301408,104
1301412,109
1301416,110
1301420,123
1301424,125
1301428,137
1301432,136
1301436,135
1301440,161
1301444,146
1301448,144
1301452,156
1301456,177
1301460,151
1301464,160
1301468,159
1301472,152
1301476,164
1301480,168
1301484,174
1301488,193
1301492,178
1301496,141
1301500,141
1301504,139
1301508,127
1301512,128
1301516,122
1301520,124
1301524,110
1301528,98
1301532,96
1301536,107
1301540,88
1301544,126
1301548,116
1301552,90
1301556,95
1301560,106
1301564,91
1301568,85
1301572,90
1301576,96
1301580,79
1301584,108
