clock, output
1300276,0
1300280,0
1300284,0
1300288,0
1300292,0
1300296,0
1300300,0
1300304,0
1300308,0
1300312,0
1300316,0
1300320,0
1300324,0
1300328,180
1300332,72
1300336,72
1300340,36
1300344,36
1300348,36
1300352,36
1300356,36
1300360,36
1300364,36
1300368,36
1300372,36
1300376,36
1300380,36
1300384,0
1300388,0
1300392,36
1300396,36
1300400,36
1300404,0
1300408,36
1300412,36
1300416,0
1300420,36
1300424,36
1300428,0
1300432,36
1300436,36
1300440,0
1300444,36
1300448,36
1300452,0
1300456,36
1300460,36
1300464,0
1300468,0
1300472,0
1300476,36
1300480,0
1300484,36
1300488,0
1300492,36
1300496,32
1300500,4
1300504,0
1300508,0
1300512,0
1300516,36
1300520,36
1300524,0
1300528,0
1300532,0
1300536,36
1300540,0
1300544,36
1300548,0
1300552,0
1300556,0
1300560,0
1300564,36
1300568,36
1300572,0
1300576,0
1300580,0
1300584,0
1300588,36
1300592,0
1300596,36
1300600,0
1300604,36
1300608,0
1300612,32
1300616,0
1300620,36
1300624,0
1300628,36
1300632,0
1300636,0
1300640,0
1300644,0
1300648,36
1300652,0
1300656,36
1300660,0
1300664,36
1300668,0
1300672,0
1300676,0
1300680,0
1300684,36
1300688,0
1300692,36
1300696,0
1300700,36
1300704,0
1300708,0
1300712,0
1300716,29
1300720,7
1300724,36
1300728,0
1300732,0
1300736,0
1300740,0
1300744,36
1300748,0
1300752,36
1300756,0
1300760,36
1300764,0
1300768,0
1300772,0
1300776,0
1300780,36
1300784,34
1300788,2
1300792,0
1300796,0
1300800,0
1300804,36
1300808,0
1300812,36
1300816,0
1300820,36
1300824,0
1300828,36
1300832,0
1300836,36
1300840,0
1300844,36
1300848,0
1300852,36
1300856,0
1300860,36
1300864,0
1300868,0
1300872,0
1300876,36
1300880,36
1300884,0
1300888,0
1300892,0
1300896,36
1300900,0
1300904,0
1300908,0
1300912,36
1300916,36
1300920,0
1300924,36
1300928,36
1300932,0
1300936,36
1300940,36
1300944,0
1300948,36
1300952,36
1300956,0
1300960,36
1300964,36
1300968,0
1300972,36
1300976,36
1300980,36
1300984,0
1300988,36
1300992,0
1300996,36
1301000,0
1301004,36
1301008,36
1301012,36
1301016,36
1301020,35
1301024,36
1301028,36
1301032,36
1301036,72
1301040,200
1301044,1
1301048,0
1301052,0
1301056,0
1301060,0
1301064,0
1301068,0
1301072,0
1301076,0
1301080,0
1301084,0
1301088,0
1301092,0
1301096,0
