clock, output
1300004,200
1300008,0
1300012,0
1300016,0
1300020,0
1300024,0
1300028,0
1300032,0
1300036,0
1300040,0
1300044,0
1300048,0
1300052,0
1300056,0
1300060,0
1300064,0
1300068,0
1300072,0
1300076,100
1300080,199
1300084,199
1300088,199
1300092,0
1300096,199
1300100,199
1300104,199
1300108,199
1300112,0
1300116,199
1300120,199
1300124,199
1300128,199
1300132,0
1300136,199
1300140,199
1300144,199
1300148,199
1300152,0
1300156,199
1300160,199
1300164,199
1300168,199
1300172,0
1300176,199
1300180,199
1300184,199
1300188,199
1300192,0
1300196,199
1300200,199
1300204,199
1300208,199
1300212,0
1300216,199
1300220,199
1300224,199
1300228,199
1300232,199
1300236,199
1300240,199
1300244,199
1300248,199
1300252,0
1300256,199
1300260,199
1300264,199
1300268,199
1300272,0
1300276,199
1300280,199
1300284,199
1300288,199
1300292,199
1300296,199
1300300,199
1300304,199
1300308,199
1300312,0
1300316,199
1300320,199
1300324,199
1300328,0
1300332,199
1300336,199
1300340,199
1300344,199
1300348,199
1300352,199
1300356,199
1300360,199
1300364,199
1300368,199
1300372,0
1300376,199
1300380,199
1300384,199
1300388,0
1300392,199
1300396,199
1300400,199
1300404,199
1300408,199
1300412,199
1300416,199
1300420,199
1300424,199
1300428,0
1300432,199
1300436,199
1300440,199
1300444,199
1300448,0
1300452,199
1300456,199
1300460,199
1300464,199
1300468,199
1300472,199
1300476,199
1300480,199
1300484,199
1300488,0
1300492,199
1300496,199
1300500,199
1300504,199
1300508,0
1300512,199
1300516,199
1300520,199
1300524,199
1300528,199
1300532,199
1300536,199
1300540,199
1300544,199
1300548,0
1300552,199
1300556,199
1300560,199
1300564,199
1300568,0
1300572,199
1300576,199
1300580,199
1300584,199
1300588,0
1300592,199
1300596,199
1300600,199
1300604,199
1300608,0
1300612,199
1300616,199
1300620,199
1300624,199
1300628,0
1300632,199
1300636,199
1300640,199
1300644,199
1300648,0
1300652,199
1300656,199
1300660,199
1300664,199
1300668,0
1300672,199
1300676,199
1300680,199
1300684,199
1300688,199
1300692,199
1300696,199
1300700,199
1300704,199
1300708,0
1300712,199
1300716,199
1300720,199
1300724,199
1300728,0
1300732,199
1300736,199
1300740,199
1300744,199
1300748,199
1300752,199
1300756,199
1300760,199
1300764,199
1300768,0
1300772,200
1300776,100
1300780,0
1300784,0
1300788,0
1300792,0
1300796,0
1300800,0
1300804,0
1300808,0
1300812,0
1300816,0
1300820,0
1300824,0
1300828,0
1300832,0
1300836,0
1300840,0
1300844,0
1300848,100
1300852,199
1300856,199
1300860,199
1300864,199
1300868,199
1300872,199
1300876,199
1300880,199
1300884,0
1300888,199
1300892,199
1300896,199
1300900,0
1300904,199
1300908,199
1300912,199
1300916,199
1300920,199
1300924,199
1300928,199
1300932,199
1300936,199
1300940,199
1300944,0
1300948,199
1300952,199
1300956,199
1300960,0
1300964,199
1300968,199
1300972,199
1300976,199
1300980,199
1300984,199
1300988,199
1300992,199
1300996,199
1301000,0
1301004,199
1301008,199
1301012,199
1301016,199
1301020,0
1301024,199
1301028,199
1301032,199
1301036,199
1301040,199
1301044,199
1301048,199
1301052,199
1301056,199
1301060,0
1301064,199
1301068,199
1301072,199
1301076,199
1301080,0
1301084,199
1301088,199
1301092,199
1301096,199
1301100,0
1301104,199
1301108,199
1301112,199
1301116,199
1301120,0
1301124,199
1301128,199
1301132,199
1301136,199
1301140,0
1301144,199
1301148,199
1301152,199
1301156,199
1301160,0
1301164,199
1301168,199
1301172,199
1301176,199
1301180,0
1301184,199
1301188,199
1301192,199
1301196,199
1301200,199
1301204,199
1301208,199
1301212,199
1301216,199
1301220,0
1301224,199
1301228,199
1301232,199
1301236,199
1301240,0
1301244,199
1301248,199
1301252,199
1301256,199
1301260,199
1301264,199
1301268,199
1301272,199
1301276,199
1301280,0
1301284,199
1301288,199
1301292,199
1301296,199
1301300,0
1301304,199
1301308,199
1301312,199
1301316,199
1301320,199
1301324,199
1301328,199
1301332,199
1301336,199
1301340,0
1301344,199
1301348,199
1301352,199
1301356,0
1301360,199
1301364,199
1301368,199
1301372,199
1301376,199
1301380,199
1301384,199
1301388,199
1301392,199
1301396,199
1301400,0
1301404,199
1301408,199
1301412,199
1301416,0
1301420,199
1301424,199
1301428,199
1301432,199
1301436,199
1301440,199
1301444,199
1301448,199
1301452,199
1301456,0
1301460,199
1301464,199
1301468,199
1301472,199
1301476,0
1301480,199
1301484,199
1301488,199
1301492,199
1301496,199
1301500,199
1301504,199
1301508,199
1301512,199
1301516,0
1301520,199
1301524,199
1301528,199
1301532,199
1301536,0
1301540,199
1301544,200
1301548,0
1301552,0
1301556,0
1301560,0
1301564,0
1301568,0
1301572,0
1301576,0
1301580,0
1301584,0
1301588,0
1301592,0
1301596,0
1301600,0
1301604,0
1301608,0
1301612,0
1301616,100
1301620,199
1301624,199
1301628,199
1301632,0
1301636,199
1301640,199
1301644,199
1301648,199
1301652,0
1301656,199
1301660,199
1301664,199
1301668,199
1301672,0
1301676,199
1301680,199
1301684,199
1301688,199
1301692,0
1301696,199
1301700,199
1301704,199
1301708,199
1301712,0
1301716,199
1301720,199
1301724,199
1301728,199
1301732,0
1301736,199
1301740,199
1301744,199
1301748,199
1301752,0
1301756,199
1301760,199
1301764,199
1301768,199
1301772,199
1301776,199
1301780,199
1301784,199
1301788,199
1301792,0
1301796,199
1301800,199
1301804,199
1301808,199
1301812,0
1301816,199
1301820,199
1301824,199
1301828,199
1301832,199
1301836,199
1301840,199
1301844,199
1301848,199
1301852,0
1301856,199
1301860,199
1301864,199
1301868,0
1301872,199
1301876,199
1301880,199
1301884,199
1301888,199
1301892,199
1301896,199
1301900,199
1301904,199
1301908,199
1301912,0
1301916,199
1301920,199
1301924,199
1301928,0
1301932,199
1301936,199
1301940,199
1301944,199
1301948,199
1301952,199
1301956,199
1301960,199
1301964,199
1301968,0
1301972,199
1301976,199
1301980,199
1301984,199
1301988,0
1301992,199
1301996,199
1302000,199
1302004,199
1302008,199
1302012,199
1302016,199
1302020,199
1302024,199
1302028,0
